isin,ticker,name,exchange,description
LU0641006613,X03H.SW,"Xtrackers II Global Government Bond UCITS ETF 4C - CHF Hedged",Swiss Exchange,"The aim is for the investment to reflect the performance of the FTSE World Government Bond Index – Developed Markets, Currency-Hedged in EUR terms (Index) which provides exposure to the FTSE World Government Bond Index – Developed Markets as adjusted by transactions whose aim is to reduce the effect of the exchange rate fluctuations between the currency of the Index components and the Euro. The Underlying Index aims to reflect the performance of a range of fixed-rate, local currency, investment-grade sovereign debt issued in developed markets. To be included in the Underlying Index, the debt must be i) issued by governments in developed countries; and ii) be deemed investment grade by major rating agencies. The Fund will attempt to replicate the Index by i) buying a portfolio of securities that may comprise the constituents of the Index or other unrelated investments."
LU0641007009,XG7U.L,"Xtrackers II Global Inflation-Linked Bond UCITS ETF 2C - USD Hedged",London Stock Exchange,"The aim is for the investment to reflect the performance of the Bloomberg Barclays World Government Inflation-Linked Bond Index EUR Hedged (Index) which provides exposure to the Bloomberg Barclays World Government Inflation-Linked Bond Index (Underlying Index) as adjusted by transactions whose aim is to reduce the effect of the exchange rate fluctuations between the currency of the index components and the Euro (currency hedging). The Underlying Index aims to reflect the performance of inflation-linked tradable debt (bonds) issued by governments from certain developed markets. To achieve the aim, the Fund will attempt to replicate the Index by i) buying a portfolio of securities that may comprise the constituents of the Index or other unrelated investments, and ii) entering into financial contracts (derivatives) which attempt to reduce the impact of exchange rate fluctuations between the currency of the index components and the Euro."
LU0641007264,XGIG.L,"Xtrackers II Global Inflation-Linked Bond UCITS ETF",London Stock Exchange,"NA"
LU0643975161,X03G.DE,"Xtrackers II Germany Government Bond UCITS ETF",XETRA,"NA"
LU0677077884,XUEM.DE,"Xtrackers II USD Emerging Markets Bond UCITS ETF",Deutsche Börse,"The aim is for your investment to reflect the performance of the FTSE Emerging Markets USD Government and Government-Related Bond Select Index (Reference Index)."
LU0721552544,UEFF.DE,"UBS (Lux) Fund Solutions - Bloomberg Barclays US 1-3 Year Treasury Bond UCITS ETF",Deutsche Börse,"The sub-fund aims to track, before expenses, the price and income performance of the Bloomberg Barclays US 1-3 Year Treasury Bond™ Index (Total Return) (this sub-fund&#39;s ""Index"")."
LU0721552973,UB82.L,"UBS ETF - Bloomberg Barclays US 7-10 Year Treasury Bond UCITS ETF",London Stock Exchange,"NA"
LU0942970103,XBAG.DE,"Xtrackers II ESG Global Aggregate Bond ETF",Deutsche Börse,"NA"
LU0942970368,XBGG.L,"Xtrackers II Global Aggregate Bond Swap UCITS ETF 3D - GBP Hedged",LSE,"The aim is for the investment to reflect the performance of the Bloomberg Barclays Global Aggregate Bond Index (Index). The Index is intended to reflect the global market in investment grade fixed-rate tradeable debt (bonds), meaning those bonds issued by issuers considered less likely to default. The Index contains all the bonds from the following three indices: the U.S. Aggregate Index, the Pan-European Aggregate Index and the Asian-Pacific Aggregate Index (Regional Aggregate Indices). In addition, bonds eligible for inclusion in the Global Treasury Index, the Eurodollar Index, the Euro-Yen Index, the Canadian Index, and the Investment Grade 144A Index, which are not already included in the Regional Aggregate Indices, shall also be eligible for inclusion in the Index."
LU0942970442,XBAC.SW,"Xtrackers II Global Aggregate Bond Swap UCITS ETF 4C - CHF Hedged",Swiss Exchange,"The aim is for the investment to reflect the performance of the Bloomberg Barclays Global Aggregate Bond Index (Index). The Index is intended to reflect the global market in investment grade fixed-rate tradeable debt (bonds), meaning those bonds issued by issuers considered less likely to default. The Index contains all the bonds from the following three indices: the U.S. Aggregate Index, the Pan-European Aggregate Index and the Asian-Pacific Aggregate Index (Regional Aggregate Indices). In addition, bonds eligible for inclusion in the Global Treasury Index, the Eurodollar Index, the Euro-Yen Index, the Canadian Index, and the Investment Grade 144A Index, which are not already included in the Regional Aggregate Indices, shall also be eligible for inclusion in the Index."
LU0962071741,XYPD.DE,"Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF",Deutsche Börse,"NA"
LU0962078753,XGII.DE,"Xtrackers II Global Inflation-Linked Bond UCITS ETF 1D - EUR Hedged",Deutsche Börse,"The aim is for the investment to reflect the performance of the Bloomberg Barclays World Government Inflation-Linked Bond Index EUR Hedged (Index) which provides exposure to the Bloomberg Barclays World Government Inflation-Linked Bond Index (Underlying Index) as adjusted by transactions whose aim is to reduce the effect of the exchange rate fluctuations between the currency of the index components and the Euro (currency hedging). The Underlying Index aims to reflect the performance of inflation-linked tradable debt (bonds) issued by governments from certain developed markets. To achieve the aim, the Fund will attempt to replicate the Index by i) buying a portfolio of securities that may comprise the constituents of the Index or other unrelated investments, and ii) entering into financial contracts (derivatives) which attempt to reduce the impact of exchange rate fluctuations between the currency of the index components and the Euro."
LU1094612022,CGB.DE,"Xtrackers II Harvest China Government Bond UCITS ETF",Deutsche Börse,"NA"
LU1109942653,XHYG.DE,"Xtrackers II EUR High Yield Corporate Bond UCITS ETF",Deutsche Börse,"The aim is for your investment to reflect the performance of the Markit iBoxx EUR Liquid High Yield Index (the Reference Index)."
LU1285960032,USIH.PA,"Lyxor Index Fund - Lyxor ESG USD Corporate Bond (DR) UCITS ETF",EURONEXT,"NA"
LU1287023003,LYXC.DE,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 5-7Y (DR) UCITS ETF - Acc",Deutsche Börse,"The Sub-Fund is an index-tracking UCITS passively managed. The Reference Currency of the Sub-Fund is the Euro (EUR). The investment objective of sub-fund is to reflect the performance of the Bloomberg Barclays Euro Treasury 50bn 5-7 Year Bond Index (the “Benchmark Index”) denominated in Euros, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Benchmark Index (the “Tracking Error”). For Monthly Hedged share classes mentionned in APPENDIX C - SUMMARY OF SHARES AND FEES, the Sub-Fund will also use a monthly currency hedging strategy aiming at reducing the impact of a change in the share class currency against the currency of the index constituents. The anticipated level of the tracking error under normal market conditions is expected to be up to 0.10%."
LU1287023185,MTD.PA,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 7-10Y (DR) UCITS ETF",Paris,"NA"
LU1287023268,LYXF.DE,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 15+Y (DR) UCITS ETF - Acc",Deutsche Börse,"NA"
LU1287023342,LYXA.DE,"MULTI-UNITS LUXEMBOURG - Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond (DR) UCITS ETF",XETRA,"NA"
LU1407892592,GILS.L,"Lyxor Core UK Government Bond (DR) UCITS ETF",London Stock Exchange,"NA"
LU1439943090,GIL5.L,"Lyxor UK Government Bond 0-5Y (DR) UCITS ETF",LSE,"The Lyxor UK Government Bond 0-5Y (DR) UCITS ETF - Dist is a UCITS compliant exchange traded fund that aims to track the benchmark index FTSE Actuaries Govt Securities UK Gilts TR under 5 Yr. The FTSE Actuaries Govt Securities UK Gilts TR under 5 Yr denominated in GBP and representative of UK government bonds."
LU1481202692,JBEM.PA,"BNP Paribas Easy JPM ESG EMU Government Bond IG",Paris,"NA"
LU1563454310,KLMT.DE,"Lyxor Green Bond (DR) UCITS ETF",Deutsche Börse,"NA"
LU1645385839,SEAA.DE,"UBS (Lux) Fund Solutions – J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF",Deutsche Börse,"The UBS ETF  J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the J.P. Morgan USD EM Diversified 3% capped 1-5 Year Bond Index (Total Return) (this sub-fund's Index)."
LU1650487413,LYQ2.DE,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 1-3Y (DR) UCITS ETF",XETRA,"NA"
LU1650488494,MTB.PA,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 3-5Y (DR) UCITS ETF",Paris,"NA"
LU1650488817,EGV5.DE,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 3-5Y (DR) UCITS ETF",Deutsche Börse,"NA"
LU1650489385,LYQ6.DE,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 10-15Y (DR) UCITS ETF",Deutsche Börse,"The investment objective of MULTI UNITS LUXEMBOURG - Lyxor Euro Government Bond 10-15Y (DR) UCITS ETF is to reflect the performance of the Bloomberg Barclays Euro Treasury 50bn 10-15 Year Bond Index denominated in Euros, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Benchmark Index."
LU1650489898,NADB.DE,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 10-15Y (DR) UCITS ETF",XETRA,"NA"
LU1650490474,MTXX.L,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond (DR) UCITS ETF",London Stock Exchange,"NA"
LU1650491282,LYQ7.DE,"Lyxor Core Euro Government Inflation-Linked Bond (DR) UCITS ETF",XETRA,"NA"
LU1650491795,E15H.DE,"Lyxor Core Euro Government Inflation-Linked Bond (DR) UCITS ETF",Deutsche Börse,"NA"
LU1681041205,AGEB.PA,"Amundi Index Solutions - Amundi Global Emerging Bond Markit IBOXX",Paris,"NA"
LU1681046261,CB3G.DE,"Amundi Index Solutions - Amundi Govt Bond Euro Broad Investment Grade",Deutsche Börse,"NA"
LU1681046691,DE5A.DE,"Amundi Index Solutions - Amundi Govt Bond Highest Rated Euro Investment Grade",Deutsche Börse,"NA"
LU1681046857,X1GD.DE,"Amundi Index Solutions - Amundi Govt Bond Lowest Rated Euro Investment Grade",Deutsche Börse,"The objective of this Sub-Fund is to track the performance of FTSE MTS Lowest-Rated Eurozone Government Bond IG Index, and to minimize the tracking err between the net asset value of the Sub-Fund and the performance of the Index"
LU1686832277,DFOB.DE,"Lyxor Euro Government Bond 25+Y (DR) ETF",Deutsche Börse,"NA"
LU1829219127,LYEB.DE,"Lyxor ESG Euro Corporate Bond UCITS ETF - Acc",Deutsche Börse,"The Sub-Fund is an index-tracking UCITS passively managed. This Sub-Fund promotes environmental and/or social characteristics within the meaning of article 8 of SFDR. The Reference Currency of the Sub-Fund is the Euro (EUR). The investment objective of (the “Sub-Fund”) is to track both the upward and the downward evolution of the Bloomberg Barclays MSCI EUR Corporate Liquid SRI Sustainable Index (the “Index”) denominated in Euros and representative of the performance of the investment grade corporate bond market denominated in Euros, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Index (the “Tracking Error”). For Monthly hedged share classes mentioned in APPENDIX C - SUMMARY OF SHARES AND FEES, the Sub-Fund will also use a monthly currency-hedge strategy, in order to minimize the impact of the evolution of each respective share class currency against currencies of each Index component."
LU1829219556,LYS4.DE,"Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 1-3Y (DR) UCITS ETF",XETRA,"NA"
LU1829219713,MA35.PA,"Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 3-5Y (DR) UCITS ETF",Paris,"The investment objective of MULTI UNITS LUXEMBOURG - Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond (DR) UCITS ETF is to reflect the performance of the FTSE MTS Highest Rated Macro-Weighted Government Bond (Mid Price) Index (the Benchmark Index) denominated in Euros"
LU1852211215,MDBA.DE,"UBS (Lux) Fund Solutions – Sustainable Development Bank Bonds UCITS ETF",Deutsche Börse,"The Sub-fund aims to track, before expenses, the price and income performance of the Solactive Global Multilateral Development Bank Bond USD 25% Issuer Capped Index (Total Return)"
LU1852212023,MDBG.L,"UBS (Lux) Fund Solutions – Sustainable Development Bank Bonds UCITS ETF",London Stock Exchange,"NA"
LU1852212965,MDBU.DE,"UBS(Lux)Fund Solutions – Sustainable Development Bank Bonds UCITS ETF(USD)A-dis",Deutsche Börse,"The sub-fund aims to track, before expenses, the price and income performance of the Solactive Global Multilateral Development Bank Bond USD 25% Issuer Capped Index (Total Return) (this sub-fund&#39;s ""Index""). Additionally currency hedged share classes aim to reduce the impact of currency fluctuations between their reference currency and the index currency by selling currency forwards at the one-month forward rate in accordance with the hedging methodology of the Index&#39;s currency-hedged index variant as referred to in relation to each hedged share class below."
LU1910939849,GIST.L,"Lyxor Core Global Inflation-Linked 1-10Y Bond (DR) UCITS ETF Distribution Dis",London Stock Exchange,"The Sub-Fund is an index-tracking UCITS passively managed. The Reference Currency of the Sub-Fund is the US Dollar (USD). The investment objective of the sub-fund is to reflect the performance of the Bloomberg Barclays Global Inflation-Linked 1-10 Year Index (the ""Benchmark Index"") denominated in USD and representative of the government local currency inflation linked debt from developed market countries – while minimising the volatility of the difference between the return of the Sub-Fund and the return of the Benchmark Index (the “Tracking Error”)."
LU1910940425,GISG.L,"Lyxor Core Global Inflation-Linked 1-10Y Bond (DR) UCITS ETF",LSE,"NA"
LU1974694637,EGOG.L,"UBS (Lux) Fund Solutions – J.P. Morgan Global Government ESG Liquid Bond UCITS ETF",London Stock Exchange,"NA"
LU2008760592,ASR3.DE,"BNP Paribas Easy Corp Bond SRI PAB 1-3Y",Deutsche Börse,"NA"
LU2090062782,E15G.DE,"MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 15+Y (DR) UCITS ETF",Deutsche Börse,"NA"
LU2098179695,JT13.L,"UBS ETF - Bloomberg Barclays Japan Treasury 1-3 Year Bond UCITS ETF",London Stock Exchange,"NA"
LU2178481649,XZE5.L,"Xtrackers II ESG EUR Corporate Bond Short Duration UCITS ETF",London Stock Exchange,"NA"
LU2182388665,PR1T.L,"Amundi Index Solutions - Amundi Prime US Treasury Bond 0-1 Y UCITS ETF DR - USD (C)",LSE,"To track the performance of Solactive US Treasury Bond Index (the ""Index""),and to minimize the tracking error between the net asset value of the sub-fundand the performance of the Index."
LU2244387457,GEMU.PA,"BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y",Paris,"NA"
SG1B56010922,GIBRX,"Guggenheim Total Return Bond Fund",NASDAQ,"The fund invests at least 80% of its assets (net assets, plus the amount of any borrowings for investment purposes) in debt securities. While the fund will principally invest in debt securities listed, traded or dealt in developed markets countries globally, it may also invest without limitation in securities listed, traded or dealt in other countries, including emerging markets countries."
US00170L8349,MGBIX,"AMG GW&K ESG Bond Fund - Class I",NASDAQ,"Under normal circumstances, the fund invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in bonds (debt securities). The term ""bond"" includes any debt or fixed income securities. Up to 30% of its assets may be invested in below investment grade securities (commonly known as ""junk bonds"" or ""high yield securities""). Up to 10% of the fund's assets may be invested in non-U.S. dollar-denominated instruments, including sovereign and corporate bonds."
US00170L8422,MGFIX,"AMG GW&K ESG Bond Fund",NASDAQ,"Under normal circumstances, the fund invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in bonds (debt securities). The term “bond” includes any debt or fixed income securities. Up to 30% of its assets may be invested in below investment grade securities (commonly known as “junk bonds” or “high yield securities”). Up to 10% of the fund’s assets may be invested in non-U.S. dollar-denominated instruments, including sovereign and corporate bonds."
US02072L4582,STXT,"Strive Total Return Bond ETF",New York Stock Exchange,"The fund is an actively managed exchange-traded fund (“ETF”) that under normal conditions, invests at least 80% of its net assets (plus borrowings for investment purposes) in a portfolio of bonds of varying maturities."
US09249E1010,BHK,"BlackRock Core Bond Trust",NYSE,"BlackRock Core Bond Trust is a closed-ended fixed income mutual fund launched by BlackRock, Inc. The fund is managed by BlackRock Advisors, LLC. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade quality bonds, including corporate bonds, government and agency securities, and mortgage-related securities. BlackRock Core Bond Trust was formed on November 30, 2001 and is domiciled in the United States."
US27828A1007,EVM,"Eaton Vance California Municipal Bond Fund",New York Stock Exchange,"Eaton Vance California Municipal Bond Fund is a close-ended fixed income mutual fund launched and managed by Eaton Vance Management. The fund invests in the fixed income market of United States. It invests primarily in high grade municipal obligations comprising of various industries, such as general obligations, hospital, electric utilities, transportation, water and sewer, public education, and private education. The fund was formerly known as Eaton Vance Insured California Municipal Bond Fund. Eaton Vance California Municipal Bond Fund was formed in 2002 and is domiciled in United States."
US3159167184,FJRLX,"Fidelity Limited Term Bond Fund",NASDAQ,"The fund normally invests at least 80% of assets in investment-grade debt securities (those of medium and high quality) of all types and repurchase agreements for those securities. The manager manages the fund to have similar overall interest rate risk to the Fidelity Limited Term Composite Index?. The manager maintains a dollar-weighted average maturity between two and five years. It allocates assets across different market sectors and maturities. It invests in domestic and foreign issuers."
US3161465964,FCBFX,"Fidelity Corporate Bond Fund",NASDAQ,"The fund normally invests at least 80% of assets in investment-grade corporate bonds and other corporate debt securities and repurchase agreements for those securities. The fund manager manages the fund to have similar overall interest rate risk to the Bloomberg U.S. Credit Bond Index. It invests in domestic and foreign issuers."
US3161888611,FLDB,"Fidelity Low Duration Bond ETF",Nasdaq,"The fund will normally invest at least 80% of assets in investment-grade debt securities (those of medium and high quality) of all types and repurchase agreements for those securities. Normally maintaining a duration of 1 year or less."
US31635T6745,FZOMX,"Fidelity Salem Street Trust - Fidelity SAI Short-Term Bond Fund",Nasdaq,"The fund normally invests at least 80% of assets in investment-grade debt securities (those of medium and high quality) of all types and repurchase agreements for those securities. It normally maintains a dollar-weighted average maturity of three years or less."
US31635V2328,FNBGX,"Fidelity Long-Term Treasury Bond Index Fund",NASDAQ,"The fund normally invests at least 80% of assets in securities included in the Bloomberg U.S. Long Treasury Bond Index. It normally maintains a dollar-weighted average maturity that generally is expected to be 10 years or more, consistent with that of the index. The advisor uses statistical sampling techniques based on duration, maturity, interest rate sensitivity, security structure, and credit quality to attempt to replicate the returns of the Bloomberg U.S. Long Treasury Bond Index using a smaller number of securities."
US31635V2575,FUAMX,"Fidelity Intermediate Treasury Bond Index Fund",NASDAQ,"The fund normally invests at least 80% of assets in securities included in the Bloomberg U.S. 5-10 Year Treasury Bond Index. It normally maintains a dollar-weighted average maturity that generally is expected to be between three and 10 years, consistent with that of the index. The advisor uses statistical sampling techniques based on duration, maturity, interest rate sensitivity, security structure, and credit quality to attempt to replicate the returns of the Bloomberg U.S. 5-10 Year Treasury Bond Index using a smaller number of securities."
US31635V5396,FIBUX,"Fidelity Flex U.S. Bond Index Fund",NASDAQ,"The investment seeks to provide investment results that correspond to the aggregate price and interest performance of the debt securities in the Bloomberg U.S. Aggregate Bond Index.  The fund normally invests at least 80% of its assets in bonds included in the Bloomberg U.S. Aggregate Bond Index. The advisor uses statistical sampling techniques based on duration, maturity, interest rate sensitivity, security structure, and credit quality to attempt to replicate the returns of the Bloomberg U.S. Aggregate Bond Index using a smaller number of securities. The fund invests in Fidelity&#39;s central funds."
US33739P2020,FEMB,"First Trust Emerging Markets Local Currency Bond ETF",NASDAQ Global Market,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in bonds, notes and bills issued or guaranteed by entities incorporated or domiciled in emerging market countries (collectively, ""Bonds"") that are denominated in the local currency of the issuer. It is non-diversified."
US33939L7617,SKOR,"FlexShares Credit-Scored US Corporate Bond Index Fund",NASDAQ,"The underlying index reflects the performance of a broad universe of intermediate maturity, US-dollar denominated investment grade corporate bonds that can potentially deliver a higher total return than the overall investment grade corporate bond market, as represented by the Northern Trust US Investment Grade Corporate Bond Index SM. The fund generally will invest at least 80% of its total assets in the securities of its index."
US40168W5334,GIBCX,"Guggenheim Total Return Bond Fund Class C",NASDAQ,"The investment seeks to provide total return, comprised of current income and capital appreciation.  The fund invests at least 80% of its assets (net assets, plus the amount of any borrowings for investment purposes) in debt securities. While the fund will principally invest in debt securities listed, traded or dealt in developed markets countries globally, it may also invest without limitation in securities listed, traded or dealt in other countries, including emerging markets countries."
US40168W5417,GIBAX,"Guggenheim Total Return Bond Fund Class A",NASDAQ,"The investment seeks to provide total return, comprised of current income and capital appreciation.  The fund invests at least 80% of its assets (net assets, plus the amount of any borrowings for investment purposes) in debt securities. While the fund will principally invest in debt securities listed, traded or dealt in developed markets countries globally, it may also invest without limitation in securities listed, traded or dealt in other countries, including emerging markets countries."
US40168W6241,GIUSX,"Guggenheim Core Bond Fund",NASDAQ,"The fund normally invests at least 80% of its assets (net assets, plus the amount of any borrowings for investment purposes) in investment grade fixed-income securities. It may, without limitation, seek to obtain exposure to the securities in which it primarily invests through a variety of investment vehicles, principally closed-end funds, exchange-traded funds (""ETFs"") and other mutual funds. The fund may invest up to 20% of its assets in preferred stock."
US40168W6571,SIUSX,"Guggenheim Core Bond Fund",NASDAQ,"The fund normally invests at least 80% of its assets (net assets, plus the amount of any borrowings for investment purposes) in investment grade fixed-income securities. It may, without limitation, seek to obtain exposure to the securities in which it primarily invests through a variety of investment vehicles, principally closed-end funds, exchange-traded funds (""ETFs"") and other mutual funds. The fund may invest up to 20% of its assets in preferred stock."
US40171W6949,GMDZX,"GuideStone Funds Medium-Duration Bond Fund Investor Class",NASDAQ,"The investment seeks maximum total return consistent with preservation of capital.  The fund invests mainly (at least, and typically more than, 80% of its net assets, plus borrowings for investment purposes, if any) in investment grade fixed-income instruments. The fund&#39;s portfolio is diversified among a large number of companies across different industries and economic sectors. It may hold up to 20% of its assets in obligations denominated in currencies other than the U.S. dollar and may invest beyond this limit when considering U.S. dollar-denominated securities of foreign issuers."
US4102231010,JHNBX,"John Hancock Bond Fund Class A",NASDAQ,"The investment seeks a high level of current income consistent with prudent investment risk.  The fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in a diversified portfolio of bonds. The advisor contemplates that at least 75% of its net assets will be in investment-grade debt securities and cash and cash equivalents. It will not invest more than 10% of its total assets in securities denominated in foreign currencies. Under normal market conditions, the advisor does not anticipate investing more than 25% of its total assets in U.S. dollar-denominated foreign securities (excluding Canadian securities)."
US46138J4114,BSMV,"Invesco BulletShares 2031 Municipal Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2031 (collectively, “2031 Bonds”). The fund is non-diversified."
US46138J4452,BSMU,"Invesco BulletShares 2030 Municipal Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2030 (collectively, “2030 Bonds”). It does not purchase all of the securities in the index; instead, the fund utilizes a ""sampling"" methodology to seek to achieve its investment objective. It is non-diversified."
US46138J4783,BSMT,"Invesco BulletShares 2029 Municipal Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2029 (collectively, “2029 Bonds”). It is non-diversified."
US46138J4866,BSMS,"Invesco BulletShares (R) 2028 Municipal Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2028 (collectively, “2028 Bonds”). It is non-diversified."
US46138J5103,BSMQ,"Invesco BulletShares (R) 2026 Municipal Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2026 (collectively, “2026 Bonds”). It is non-diversified."
US46138J8172,BSJP,"Invesco BulletShares 2025 High Yield Corporate Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated high yield corporate bonds (commonly known as ""junk bonds"") with maturities or, in some cases, ""effective maturities"" in the year 2025 (collectively, ""2025 Bonds"")."
US46139W8588,BSCW,"Invesco Bulletshares 2032 Corporate Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 80% of its total assets in securities that comprise the index. The index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, “effective maturities” in the year 2032. It is non-diversified."
US4642874329,TLT,"iShares 20+ Year Treasury Bond ETF",NASDAQ Global Market,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity greater than or equal to twenty years."
US4642874576,SHY,"iShares 1-3 Year Treasury Bond ETF",NASDAQ,"The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to one year and less than three years."
US4642881175,IGOV,"iShares International Treasury Bond ETF",NASDAQ Global Market,"The fund will invest at least 80% of its assets in the component securities of the underlying index and will invest at least 90% of its assets in fixed income securities of the types included in the underlying index. The underlying index measures the performance of fixed-rate, local currency, investment-grade, sovereign bonds from certain developed markets. The fund is non-diversified."
US4642881258,ISHG,"iShares 1-3 Year International Treasury Bond ETF",NASDAQ Global Market,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index. The index is the performance of fixed-rate, local currency, investment-grade, sovereign bonds from certain developed markets. The fund is non-diversified."
US4642882819,EMB,"iShares J.P. Morgan USD Emerging Markets Bond ETF",NASDAQ Global Market,"The fund will invest at least 80% of its assets in the component securities of the underlying index and will invest at least 90% of its assets in fixed income securities of the types included in the underlying index. The index is a broad, diverse U.S. dollar-denominated emerging markets debt benchmark that tracks the total return of actively traded external debt instruments in emerging market countries."
US4642886208,USIG,"iShares Broad USD Investment Grade Corporate Bond ETF",NASDAQ,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. The underlying index measures the performance of investment-grade corporate bonds of both U.S. and non-U.S. issuers that are U.S. dollar-denominated and publicly issued in the U.S. domestic market."
US4642886380,IGIB,"iShares 5-10 Year Investment Grade Corporate Bond ETF",NASDAQ,"The fund will invest at least 80% of its assets in the component securities of the index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the index. The fund will invest no more than 10% of its assets in futures, options and swaps contracts that BFA believes will help the fund track the index as well as in fixed income securities other than the types included in the index, but which BFA believes will help the fund track the index."
US4642886463,IGSB,"iShares 1-5 Year Investment Grade Corporate Bond ETF",NASDAQ Global Market,"The index measures the performance of investment-grade corporate bonds of both U.S. and non-U.S. issuers that are U.S. dollar-denominated and publicly issued in the U.S. domestic market and have a remaining maturity of greater than or equal to one year and less than five years. The fund will invest at least 80% of its assets in the component securities of the index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the index."
US46432F8591,ISTB,"iShares Core 1-5 Year USD Bond ETF",NASDAQ Global Market,"The fund will invest at least 80% of its assets in the component securities of the index and TBA transactions that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the index and it will invest at least 90% of its assets in fixed income securities of the types included in the index."
US46434V1008,SLQD,"iShares 0-5 Year Investment Grade Corporate Bond ETF",NASDAQ,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index. The index is designed to reflect the performance of U.S. dollar-denominated investment-grade corporate debt."
US46434V6130,IUSB,"iShares Core Total USD Bond Market ETF",NASDAQ Global Market,"The fund will invest at least 80% of its assets in the component securities of the underlying index and to-be-announced transactions (“TBAs”) that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the underlying index. The index measures the performance of U.S. dollar-denominated taxable bonds that are rated either investment-grade or high yield."
US46435G1931,SUSC,"iShares ESG USD Corporate Bond ETF",NASDAQ Global Market,"The fund generally will invest at least 90% of its assets in the component securities of the index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index, but which BFA believes will help it track the index."
